ρ,ρ*ρ,σ²-Model,σ²-Analytical
0.05,0.0025000000000000005,0.060404122536433055,0.058642061281337046
0.1,0.010000000000000002,0.15361245231325305,0.14063291139240508
0.15000000000000002,0.022500000000000006,0.3052645624998775,0.26034132841328417
0.2,0.04000000000000001,0.6976608502426442,0.44571428571428573
0.25,0.0625,2.125069536555631,0.7589285714285714
0.3,0.09,5.258560535715972,1.371290322580645
0.35,0.12249999999999998,11.273839003274555,2.9880633802816896
0.36,0.1296,17.894862839027013,3.6772085106382963
0.37,0.1369,17.493453029566865,4.681515922014622
0.38,0.1444,22.675157155259434,6.277441004184101
0.39,0.1521,22.208609000217383,9.198135640648017
0.4,0.16000000000000003,26.838170697939326,16.240000000000034
0.401,0.16080100000000003,28.44821346056253,17.53109391653005
0.402,0.16160400000000003,28.153343908721396,19.033744063728385
0.403,0.16240900000000003,27.305806232709894,20.804549089329292
0.404,0.16321600000000003,29.734938381973084,22.922273716509235
0.405,0.16402500000000003,28.543951537188665,25.49987779114542
0.406,0.164836,25.860033585896367,28.705332537385686
0.40700000000000003,0.16564900000000002,28.12561180996549,32.79975107862034
0.40800000000000003,0.16646400000000003,25.569087792648787,38.212338919708216
0.40900000000000003,0.167281,27.442546413836766,45.70160078544762
0.41000000000000003,0.16810000000000003,25.535218095134862,56.746101680672695
0.41100000000000003,0.16892100000000002,29.153243731198362,74.66481278125411
0.41200000000000003,0.16974400000000003,28.973580516077586,108.77422530946467
0.41300000000000003,0.17056900000000003,30.69199901227925,199.09874111367495
0.41400000000000003,0.17139600000000002,29.148788756177847,1135.3154516822885
